job_title,job_company,job_location,job_summary
Business Analyst,Arwaj Technologies (pvt.) Ltd.,Karachi,"Create mind maps, requirement specifications documents, data mappings, diagrams, project scope, user stories, and flowcharts for stakeholders’ review and…"
Computer Vision Engineer,Optimizia,Karachi,"Working with the data science team to research, develop, evaluate and optimize various computer vision and deep learning models for different problems."
React JS Developer,Smart Placement (Pvt) Ltd,Lahore,"Preceding experience with ReactJS workflows like Flux, Redux, Create React App, data structure libraries.Strong proficiency in JavaScript, object model, DOM…"
Senior PHP Developer,Hashe Computer Solutions (Pvt) Ltd.,Lahore,Utilize backend data services and contribute to increasing existing data services API.Integration of multiple data sources and databases into one system.
PHP Developer,Main Games PK,Islamabad,"Knowledge of machine learning, big data, and DevOps is a big plus.· Lead web development team to maintain and improve the site in collaboration with product…"
Node JS Developer,Smart Placement (Pvt) Ltd,Lahore+2 locations,"Bachelor's degree in computer science, information science, or similar.Implementing effective security protocols, data protection measures, and storage…"
Fortinet Security Specialist,AireSpring,Islamabad,"Hands-on experience analyzing high volumes of logs, network data (e.g. Netflow, FPC), and other attack artifacts in support of incident investigations."
Software Test Engineer,PakWheels,Lahore,"A thorough understanding of oop, data structures, algorithms, and operating systems.Write, revise, and own QA test plans."
Information Security Analyst,Great Sys,Lahore,The Security Analyst will be responsible for analyzing external and internal threats to protect sensitive data within Mediacom network.
Software Engineer (.Net),Chiniot General Hospital,Karachi,Develop quality software and web/desktop application.Analyze and maintain existing software application.Able to discover and fix programming bugs.
React.Js Developer,Vizz Web Solutions,Rawalpindi,Experience with data structure libraries.Js*. Your primary focus will be on developing user interface components and implementing those following well-known…
React Web Developer,Technevity Inc.,Islamabad,"The successful candidate will take a product through the entire lifecycle of analysis, design, coding, back-end storage, security, encryption, error logging,…"
Web Developer Laravel/Codeigniter - Remote,Azam Systems and Technologies Pvt Limited,Rawalpindi,Utilize backend data services and contribute to increasing existing data services using APIs.Maintenance and improvement of websites and applications*.*.
Web Application Developer,Buch International Hospital,Multan,Good command on data modeling and OOP.The ideal candidate will also have an analytical mindset and a keen eye for detail.
Web Developer & Designer,Broadstone Technologies,Lahore,Experience in handling complex JSON data.Solid experience as Web Developer of 2 plus years.Expert in developing responsive dynamic websites.
Database Administrator,NayaPay,Karachi,"Proficiency in data manipulation languages including MS SQL, Oracle Database, MYSQL and MongoDB.Monitor system performance and identifying problems."
Project Manager,Ropstam,Rawalpindi,"Set clear, measurable quality goals for an organization in a data-driven way.Reports to Director, manage the overall software development lifecycle."
Lead Java(Remote),Smart Placement (Pvt) Ltd,Lahore,"Professional experience with Spring data, JPA, and transaction management.Bachelor’s or higher degree in Computer Science, Information Technology, or a similar…"
Database Administrator,PI Pakistan (Pvt.) Ltd,Karachi,Closely monitor the performance of various work groups on the system and make sure data is available to business as per the SLA requirement.
PHP Full Stack Web Developer,Symbiosis Technologies,Karachi,"Integrating data from various back-end services and database.We are looking for a candidate with PHP background who is dedicated to the craft, writes clean…"
Website & SEO Executive,Badar Group of Companies,Karachi,"Understanding of search engine algorithms, data mining tools and ranking methods.Update regular content on websites for maximum optimization and search engine…"
Systems Lead HRMS,YOTTABYTE (PVT.) LTD.,Lahore,"Understanding data, data flow between modules and integrations to other systems.A bachelor’s degree in computer science, information technology or related…"
Big Data Engineer,Avanceon MEA,Lahore,"As a Big Data engineer you will be responsible for data-related implementation tasks that include provisioning of data storage services, ingesting, streaming…"
Power Platform Consultant (Remote),Smart Placement (Pvt) Ltd,Islamabad+1 location,Work on existing Dynamics 365 and Power Platform projects to enhance configurations and customisations.Accountable for problem resolution and implementation of…
PHP Developer,Britannia Airport Cars,Islamabad,"As a PHP developer, you will be responsible for developing and coding all server-side logic and DB Architecture.Proven software development experience in PHP."
Natural Language Processing (NLP) Engineer,Algo,Lahore,"Work with Engineering and Architecture teams to implement data pipeline on Microsoft Azure and AWS (including data collection, preprocessing, sampling, and…"
Senior Android Developer,TechNerds Inc.,Lahore,Experience working with remote data via REST and JSON.This Android app developer will work with our team of talented engineers to design and build the next…
Software Engineer,Sibisoft Pvt Ltd,Karachi,Strong JAVA and J2EE application development experience.Ability to work on multi-priority and time-critical situations.Bachelor’s degree in computer Science.
BI Developer,Avanceon MEA,Lahore,"Extensive experience defining and rationalizing complex data models within a data warehousing environment.Experience in analyzing data, generating insights,…"
Front-End Developer & Researcher,Cloudelligent,Pakistan,Bachelor’s in software/computer engineering or computer science or related field.Job Timings: 8am-5pm Central Time (US) (6pm-3am PKT).
WordPress Developer,Rezaid,Lahore,Integrate data from various back-end services and databases.You will be responsible to produce scalable software solutions and translate our company and…
IT Internship,CX Technologies,Rawalpindi,"Build a candidate CRM to ensure a solid pipeline of qualified candidates - ensuring candidate data is kept updated.Job Types: Full-time, Internship."
Full Stack Engineer (MERN),Technology Rivers Private Limited,Islamabad,"Implementation of security and data protection.Therefore, we are looking to hire a Full Stack Developer (MERN) with significant experience and expertise in…"
AI Engineer,Avanceon MEA,Lahore,"This role requires combined expertise in software development, programming, data science and data engineering.Experience building AI models in."
Sr. Manager Development,Switch Communications,Islamabad,"Knowledge of data processing, relational database systems.Knowledge of Mobile VAS solutions (SMS, Email, OBD, IVR, Chatbot, WhatsApp API, Smart Messaging)."
Assistant General Manager,Minibig Technologies,Karachi,"Track SEO and Google Analytics data an make complex analysis.Evaluate overall performance by gathering, analyzing and interpreting data and metrics."
Full Stack Laravel Developer,Napollo Software Design LLC.,Lahore,Associates degree in computer sciences or related field.Must have good problem-solving and data structure skills.Solid skills in PHP and Laravel.
Software Engineer C++,TPS Pakistan Pvt. Limited,Karachi,Experience with algorithms/data structures knowledge.Qualification: **Bachelors or Masters in Computer Science*.Good understanding of TCP/IP protocol.
Python/Django Web Developer,Simplicity Technologies Private Limited (STech.ai),Islamabad,Integration of data storage solutions.Implementation of security and data protection.Able to integrate multiple data sources and databases into one system.
Senior Manager Global Partnerships,HRSG,Karachi,"Minimum Qualification A university degree, preferably Masters’ degree, in disciplines of humanities or social sciences."
Senior Software Engineer(Remote),ClaimCare (SMC-Pvt) Ltd,Islamabad,"MongoDB -Experience creating complex documents and/or high volumes of data.Develops software solutions by studying information needs, conferring with users,…"
Machine Learning Software Engineer,VIDIZMO LLC,Karachi,1-4 years industry experience in machine learning & deep Learning framework and working with large data sets and system.
Software Engineer (.NET),BariTechSol,Karachi,Bachelors of Computer science or a related discipline from a reputable University.NET development tools and Databases.Fresh-3 years of working with .
SQL Developer,Algo,Lahore,"Degree in Computer Science, Engineering, or relevant degree.Proven years of experience as an SQL Developer or similar role."
Web Developer Laravel/Codeigniter,Azam Systems and Technologies Pvt Limited,Rawalpindi,Utilize backend data services and contribute to increasing existing data services using APIs.Maintenance and improvement of websites and applications*.*.
Manager Software Engineering,Tech Avenue Private Limited,Islamabad,Good understanding of data structures and algorithms.BS degree in Computer Science /Software Engineering or equivalent from an HEC recognized university.
Senior React JS Developer,Digixvalley LLC,Lahore,Ability to Integrate multiple data sources and databases into one system.Hold a BS/MS Computer Science degree from a reputable institution.
UI/UX designer,Kids U - Fueling Brains,Islamabad,"BS in computer science or a related field.Integrate data from various back-end services and databases.Use your deep knowledge of HTML, CSS, and JavaScript to…"
Network & Desktop Support Engineer,Hazen Technologies Inc.,Lahore,"Implements data and network security through firewalls, UTM, IPS/IDS, ACS and VPN technologies.Responsible to monitor, maintain, support of all Network &…"
Product Manager,ENTERTAINER FZ LLC,Lahore,A computer science degree is preferred but not required.Target driven and have good numerical and analytical skills with an excellent eye for detail working…
Node Js. Developer,ABTACH Ltd,Karachi,"Bachelor's degree in computer science, information science, or similar.Implementing effective security protocols, data protection measures, and storage…"
Back-End Developer,Target Technologies Pakistan Pvt Ltd,Islamabad,"Work closely and collaboratively with multi-cultural and virtual teams, including software and solutions developers, GIS experts, data managers and domain…"
Senior SQA Engineer,Novus Altair,Karachi,"Prepare solutions with recent applicable tools to execute client-specific interfaces, workflows and data analysis libraries.Experience in Selenium and Gherkin."
Senior Business Analyst,Xpert Digital Pvt Ltd,Karachi,"Perform data discovery, analysis and modeling.Gather and analyze data for potential business expansion.Influence stakeholders to support business projects."
Senior Software Engineer,Arrivy Inc.,Lahore,"Computer Science fundamentals in object-oriented design, data structures, algorithm design, and analysis.Our team comprises operations and logistics veterans…"
Network & Desktop Support Engineer,ENTERTAINER FZ LLC,Lahore,"Implements data and network security through firewalls, UTM, IPS/IDS, ACS and VPN technologies.Being a Key part of IT Support Team, Network & Desktop Support…"
Senior Executive - Analytics (Consumer Insight),NielsenIQ,Lahore,This is an expert’s role and requires hands on experience with advanced data analyses.Standard advanced data analyses with minimal supervision and or complex…
Flutter Developer,TechSwivel (pvt) Ltd.,Lahore,"Efficiently use third-party data sources and APIs.The job requires excellent knowledge of the mentioned languages for a large-scale, high-impact product…"
Junior Android Developers,OMA Emirates LLC,Karachi,Experience working with data via REST and JSON.Computer science graduate (BS/BCS/BE(Software Engineering)/MS(Software Engineering)/MCS).
NOC Systems Engineer,Starzplay Arabia,Lahore,"Manage data center and computer host systems including hardware, software, and equipment such as air-conditioning system, UPS (uninterrupted power system) and…"
Senior Project/Data Manager (Vehicle Tracking Business-KHI),Ascend HR,Karachi,"*3-5 years of high level experience* working in data analytic teams of *Vehicle tracking Business* dealing with data automation, business analytics, AI, Machine…"
Python and React Developers,Arrivy Inc.,Lahore,"Computer Science fundamentals in object-oriented design, data structures, algorithm design, and analysis.Qualification: Minimum Bachelor in Computer Science*."
Senior Android Developer,Funprime Technology,Islamabad,"Work with outside data sources and APIs.Design and build advanced applications for the Android platform.Collaborate with cross-functional teams to define,…"
WordPress/PHP Developer,Dynexcel,Lahore,"Bachelor's degree in computer science or related field.As a WordPress & PHP Developer at our company, you will be responsible for both back-end and front-end…"
Programmer Wordpress Developer JavaScript/CSS FrontEnd Must...,PatientGain.com,Karachi, Create personas through user research and data.Full-Time Position For Hard Working and Intelligent Software Engineer.Quality checks on our CRM Dashboard.
BlockChain Developer,Nixxe Solutions LLC,Lahore,Documenting blockchain development processes and complying with best practices in data protection.In-depth knowledge of best practices in blockchain management…
Native Android Developer,SPD,Lahore,Work with outside data sources and APIs.Experience working with remote data via REST and JSON.This Android app developer will work with our team of talented…
Android Developer (Sr.),Funtash Technologies,Islamabad,"Work with outside data sources and APIs.Design and build advanced level Mobile applications for the Android platform.Job Types: Full-time, Contract."
AI / Data Science Engineer,Harri Pakistan,Islamabad,"BA Degree in computer science, data science, mathematics, or a related field.Can collaborate with data engineers to build data and model pipelines."
Sr. Software Project Manager,Programmers Force,Lahore,"Provides project status reports by collecting, analysing, and summarising data and trends.You will be working closely with your team members to ensure that all…"
Female Assistant / Secretary,N7 Tech,Rawalpindi,"Screens and summarizes content of incoming materials and specially gathered data.Coordinates budget, data, and submission for various Technology grants."
DevOps Engineer,CloudLogically,Rawalpindi+2 locations,Contribute to the design of the data platform.Working with a cloud-based micro services architecture to support and collaborate with the data platform.
Systems Engineer (Linux Administrator),Transworld Associates Pvt. Ltd,Karachi,"Ensuring data center services and business application's availability.The Systems Engineer is responsible for effective installation/configuration, operation,…"
Senior PHP CodeIgniter/Laravel Developer,Sigma Digital Solutions,Islamabad,Work in a data analyst role and with business intelligence applications.Sigma Digital Solutions is currently looking for a *_Senior PHP CodeIgniter/Laravel…
Senior PHP Developer - Remote Job,DX DIGITAL GROUP,Karachi, Bachelor's degree in computer science or related field. Manage backend services and ensure seamless data interchange between server and end users.
MIS Operational & Data Warehouse System Support,Avanza Solutions,Lahore,Solid understanding of data warehousing concepts and methodologies.Position : MIS Operational & Data Warehouse System Support.
Senior Node JS Developer,Orcalo Limited,Rawalpindi+1 location,"Implementing effective security protocols, data protection measures, and storage solutions.Degree in Computer Science or related field or equivalent experience…"
Software Business Development Lead,Septem Systems,Lahore,The perfect candidate should have the expertise to interact professionally with potential international customers via different business development platforms.
Senior Linux Administrator,Khazana Enterprise Pvt Ltd,Lahore,"Bachelor’s degree in computer science or related technical field.Awareness around that ""Hope is not a Strategy"" when dealing with complex interactions between…"
Chief Software Architect,ENTERTAINER FZ LLC,Lahore,"BS/MS in computer science / computer engineering.His role is to provide hands-on architecture leadership, guidance and mentoring to our architecture and…"
Vue.js Developer (Fullstack),Ozoned Digital,Lahore,"Vue.js Developer is responsible for designing and developing advanced Vue.js applications, collaborating with the design team to define app features, and…"
Node Js Developer,Design Henge,Karachi,"Bachelor's degree in computer science, information science, or similar.Implementing effective security protocols, data protection measures, and storage…"
Technical Recruiter,Smart Placement (Pvt) Ltd,Rawalpindi,Provide exclusive support and recruitment services/recruitment consultancy to Key clients across Pakistan.Manage Senior and Middle Management recruitments of…
Backend Developer (Node JS),LastingSales,Lahore,"Implementation of security and data protection.Integration of multiple data sources and databases into one system.NodeJs & REST APIs, Sequelize or Knex, GIT."
Laravel Developer,Foxtek Systems,Lahore,Utilize backend data services and contribute to increasing existing data services API.Engineering product data management and processing systems.
System & Network Administrator (placement at Durbeen-Karachi...,Zindagi Trust,Pakistan,"Monitoring of all IT Systems deployed in data centers and communication rooms.Configure, install, and manage data backups for applications and systems."
Senior AI Engineer,Mobiz,Islamabad,"Visualize data and create reports.Align data projects with organizational goals.Collaborate with fellow software engineers, AI engineers, data scientists,…"
IOS Developer Required,KodersPoint,Islamabad,"As an iOS App Developer with at least *1.5 years* of experience, your main focus will be building new applications as well as maintaining existing ones."
Full Stack Engineer ( NODE.JS & REACT.JS ),Al-Burraq Technologies Pvt Ltd.,Lahore,"Bachelor's degree or equivalent experience in computer science or related field.We assist our clients in gaining a competitive edge in time-to-market, driving…"
Trainee Software Developer (Java),Contour Software,Karachi,"Strong competencies in data structures, algorithms, and software design.BuildTopia , a product division of Constellation Homebuilder Systems, is a fully…"
Web Developer,London International Studies and Research Center,Lahore+1 location,"Create security and data protection settings.Work with data scientists and analysts to improve the application.Troubleshoot, debug and upgrade scripts."
Mern Stack Developer,Sagacious Group,Lahore,"Experience with databases and data modeling and Document DB (MongoDB, Firebase).Develop full stack on modern frameworks with clean and self-documenting code."
Software Engineer (PHP),SSA Soft Pvt Ltd.,Lahore,"Experience in integration of multiple data sources and databases (Oracle, SQL Server & MySQL).SSA Soft is seeking for software engineer (PHP) for full-time to…"
Technical Analyst,ENTERTAINER FZ LLC,Lahore,"Investigate the issues, re-produce and try to create the immediate data fix if possible.The selected candidate will be tasked to closely coordinate with…"
.Netcore Developer (Morning Shift),Nixaam,Karachi,"Hands on experience on MSSQL,MYSQL and PostGre sql data base.Education: *Bachelors in Computer Science, Engineering or a related field."
Senior Machine Learning Engineer,Confiz,Lahore,"Ability to deconstruct technical data science projects into common language for stakeholders.Understands data science methods, tools and principles including…"
Unity Game Developer,Bitbox,Rawalpindi,"Very strong problem-solving skills with strong knowledge of data structures and basic algorithm.BS degree in computer science, game development, or related…"
Sr. Node JS Developer (Back-end Developer),Synavos,Lahore,"Bachelor's degree in computer science, information science, or similar.Implementing effective security protocols, data protection measures, and storage…"
IOS Developer,Vizz Web Solutions,Islamabad+1 location,Bachelor’s degree in computer science or software engineering.✅Designing and building mobile applications for Apple’s iOS platform.
Mern Stack Developer,Smart Placement (Pvt) Ltd,Islamabad+1 location,"Bachelor’s or higher degree in Computer Science, Information Technology, or a similar field.2-6 years of experience of MERN (Nodejs & ReactJS)-stack…"
Blockchain Developer,Ropstam Solutions Inc.,Islamabad+1 location,Outstanding understanding of data structures and algorithms.Staying updated with the latest crypto technologies for data protection.A keen eye for detail.
UI/UX Designer,Septem Systems,Lahore,"To be successful in this role, you should have experience with designing softwares and wireframe tools.Degree in Software Engineering/ Computer Science, or a…"
"School Principal, Shangla Girls School, Shangla District, KP...",Zindagi Trust,Khyber-Pakhtunkhwa,"Analyze teacher improvement data with coaches, identify prioritized areas of development and involve external partners/trainers as needed."
PHP/Laravel Developer,Hashed System,Lahore,"Bachelor's degree in computer science or related field.Experience with multiple levels of software architecture, including user interface, business logic, data…"
Engineering Manager,Darvis Inc,Islamabad,"Incredible development skills and solid grasp of code architecture, design patterns, algorithms, and data structures.Communicate and enforce coding standards."
Software Engineer - Backend,VIDIZMO LLC,Karachi,"The position requires exceptional knowledge and skills in Back-end development such as Web API, Service stack, integrations with Cloud PaaS, etc."
Senior Team Lead Business Applications & Support,1 Solution Consulting,Karachi,"Sound knowledge and experience of data ETL and data warehouse management.Able to handle large data from multiple sources preferably Oracle, SQL."
Laravel Developer,IT Empire,Faisalabad,"Utilize back-end data services and contribute to increase existing data services API.Develop, record, and maintain cutting edge web-based PHP applications on…"
MERN Stack Developer,Qbatch,Lahore,Knowledgeable in data structures and algorithms.Bachelor’s degree in computer science/software engineering.Familiar with the software development life cycle …
Assistant Product Manager,Convo,Islamabad,"Highly analytical and data-driven.One of the key aspects of your role is a thorough understanding of the right balance between business, product design, and…"
Senior Flutter Developer,Intwish,Karachi,"Work With outside data sources and API.Design and build advanced applications for the Flutter platform.Collaborate with cross-functional teams to define,…"
Quality Assurance Automation Engineer,Cooperative Computing,Karachi,"Develop and execute test plans, test cases, test data, test scenarios, and other testing-related documentation based on the requirements and technical…"
SharePoint Developer,Sagacious Group,Lahore,"Bachelor’s degree in computer science or software engineering.Create web parts, lists/library, content types, site columns, master pages, search navigation,…"
Linux Administrator,Khazana Enterprise Pvt Ltd,Lahore,"Bachelor’s degree in computer science or related technical field.Awareness around that ""Hope is not a Strategy"" when dealing with complex interactions between…"
iOS App Developer,Soft Pvt Ltd.,Lahore,Minimum Bachelor’s degree in computer science or software engineering*.He must have knowledge and experience of developing simple to complex mobile apps on the…
Cyber Security Operations Team Lead,Horizon Technologies,Karachi,"Responsible for providing expertise in evaluating, developing, implementing, and maintaining an integrated cyber security operations program to protect the…"
Android Developer,Nowasys Services,Karachi,Work with outside data sources and APIs.Experience working with remote data via REST and JSON.You will be working alongside other engineers and developers…
Session Lead (External Contractor) - Digital Marketing Nanod...,Udacity,Islamabad,Udacity is seeking a talented Instructor/Mentor to manage and facilitate an online/blended Digital Marketing Learning program.Proficient in English and Urdu.
Female Assistant / Secretary,N7 Tech Pvt Ltd,Rawalpindi,"Screens and summarizes content of incoming materials and specially gathered data.Coordinates budget, data, and submission for various Technology grants."
Proactive Sales Manager,Zones IT Solutions,Islamabad,Prepare analytical reports showing the comparison of sales data for a given account and time period.Collect all the relevant data which could help in preparing…
Senior Full Stack Developer,Zepto Systems Limited,Islamabad,"Knowledge of data analytics is a plus.Enhance tech stack and architectural approach.Facilitate collaboration between Front End, Back End and Dev Ops."
Senior Technical Lead,NexDegree,Karachi,"Familiarity with data pipeline architectures (e.g. Airflow, Metaflow).You are a true technology enthusiast and self starter who believes in ownership and…"
Blockchain Developer,Rezaid,Lahore,"Documenting blockchain development processes and complying with best practices in data protection.Bachelor’s degree in information security, computer sciences…"
Senior Laravel / Reactjs Developer,Deviotech,Lahore,"Utilize backend data services and contribute to increase existing data services API.In this role, you will design and create projects using React, Laravel…"
Salesforce Developer,CrecenTech,Lahore,"Bachelor’s degree in computer science or software engineering.Knowledge of relational databases, data modeling, and ETL tools with Salesforce."
Big Data Architect,Confiz,Lahore,"Facilitate the establishment and execution of the roadmap and vision for Big Data competency (big data, data management, enterprise data warehouse, BI &…"
Proposal/Biding Manager,Zones IT Solutions,Islamabad,Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions._.Document & follow up on review items.
Software Engineer,Wego Pte Ltd,Lahore,Model and implement data-structures that are useful in front-and-backend services.Help build and maintain Wego's Mobile and Web apps.
Big Data Architect,Avanceon MEA,Lahore,"Design and develop code, scripts, and data pipelines that leverage structured, semi -structured and unstructured data.SQL, Scala, Node.js, JS, Java."
Senior Technical Architect,Unifonic,Lahore,"Deploy, manage, and maintain core capabilities related to data ingestion, data processing, event streaming, and more."
Junior Angular Developer,ONE Technology Services,Karachi,Knowledge of data structures libraries like Immutable.js.Your primary focus will be on developing user interface components and implementing those following…
Node.Js Developer,BearPlex,Lahore,"Bachelor's degree in computer science, information science, or similar.*Implementing* effective security protocols, data protection measures, and storage…"
Senior Python Developer,NXT Labs,Karachi,Implement security and data protection solutions.Developing back-end components to improve responsiveness and overall performance.
IT Project Manager,Mobiz,Karachi,You are an experienced IT project manager with a track record of successful IT project delivery.You are capable to manage and coordinate leading any kind of IT…
JAVA Architect,Confiz,Lahore,"Data security, encryption handling, compliance, data privacy and laws is a plus.Participate in business requirements gathering activities and documenting the…"
SQL Developer,Mobiz,Karachi,"Degree in computer science an asset.Data modeling and database design, ensuring data integrity.Discussing and reviewing database requirements for new/existing…"
BI Analytics Developer,Avanceon MEA,Lahore,These professionals understand business requirements and in BI context and design data models transform raw data into meaningful insights.
Lead Generation Specialist,Arkhitech,Islamabad+1 location,"Ability to analyze financial data and prepare financial reports, statements, and projections.Arkhitech is seeking a Lead Generation Specialist to build a…"
Sr. PHP Developer,Red Rhinoz,Karachi,"Integration of multiple data sources and databases into one system.This position requires preferably in computer programming, computer science, or a related…"
SQL/ETL/SSIS Developer,Avanceon MEA,Lahore,The developer will be part of a high-performance business intelligence team and will be focused on comprehensively creating and improving existing data…
Marketing Reporting Governance Analyst,Vinncorp,Karachi,"Functional (advanced preferred) knowledge of Tableau data visualization.Excellent communication skills, with proven experience leveraging proper business…"
Software Development Engineer (All Levels),VetDrive Technologies LTD,Pakistan,Live data updates (via Server Sent Events).Encrypted offline data cache (similar to IBM JSONStore).Seamless data layer (similar to Ember Data Store + CouchDB …
BI Solutions Manager,Sibisoft Pvt Ltd,Karachi,Statistical and data mining techniques.Bachelors or a higher education degree in computer science / engineering.Help prepare and execute unit tests.
Senior PHP/Laravel Developer,TECHNODIX,Lahore,"Bachelor's degree in computer science or related field.Write clean, well-designed code.Troubleshoot and test core product software to ensure strong…"
Senior Frontend Software Engineer,CCL,Islamabad,Strong in algorithm design and understanding of data structures.Ensure the highest level of data security to protect our clients’ information assets.
Cloud Technical Architect,VeriPark Software Solutions,Karachi,"Experience in building scalable, multi-tier, and data-intense systems.Minimum of a bachelor’s degree in Computer Science, Engineering or adjacent fields…"
Software Engineer (.Net Developer),Wiseman Innovations,Islamabad,Knowledge of algorithms and data structures.Analyze instrumentation data to understand and resolve issues.Apply principles and techniques of engineering and…
Senior Ruby on Rails Developer,Alpha Group of Companies,Lahore,Integrate data storage and data processing solutions.Write effective and scalable code in Ruby.Build back-end components for web applications.
Sr. Back End Developer,Nowasys Services,Karachi,Outputting data in different formats.Implementation of security and data protection.Design and implementation of data storage solutions.
Senior Software Engineer,UBL Funds,Karachi,Practical experience of migrating/ converting/ interfacing data from legacy systems.Develop software solutions by studying information needs; conferring with…
FrontEnd Developer,CEQUENS,Pakistan,"Experience with complex client-side data flows, consuming APIs and JSON.The ideal candidate is an experienced engineer who writes simple, composable, testable,…"
Digital Media Executive,Arkhitech,Islamabad,"Strong analytical skills and data-driven thinking.BS/MS degree in marketing, media sciences or a related field.Proven working experience in digital marketing."
ETL/BI Developer,Shispare,Karachi,Should contribute to logical data model for data warehousing and making data available for downstream consumption.Strong experience in Data Integration tools.
OpenCart Developer,Sigma Digital Solutions,Islamabad,Work with outside data sources and APIs.Excellent communication skills in English (both written and spoken).Must have more than 5 years of industry experience…
Native iOS Developers,SPD,Lahore,Bachelor’s degree in computer science or software engineering.Your primary focus will be developing high-end iOS applications for the latest Apple mobile…
Full Stack Developer (MEAN),techgenies,Islamabad,Implementation of security and data protection.We are looking for a Full stack NodeJS/Angular Framework responsible for the server and client sides of our…
Senior .NET MVC Developer,Uruk IT Solution,Islamabad,Create data access layer using Entity framework.Work on the most complex problems where analysis of situations or data requires an evaluation of intangible…
Azure Cloud Engineer - Pakistan,Mobiz,Karachi,Develop plans and execute application and data migrations from on-premises data centers to Azure.Mobiz is looking for candidates with deep expertise in Azure…
Full Stack Web Developer,Center for Non-Communicable Diseases-CNCD,Karachi,A developer is responsible for managing the interchange of data between the server and the users.You will be a part of a full-stack creative team that is…
IOS Developer - Remote,DX DIGITAL GROUP,Islamabad,"Design and build advanced applications for the iOS platform Collaborate with cross-functional teams to define, design, and ship new features."
Sr. IOS Developer,9D Technologies,Islamabad,\* Bachelor’s degree in computer science or software engineering.\* Designing and building mobile applications for Apple’s iOS platform.
PHP Developer,Eike Consulting Pakistan (SMC) Pvt. Ltd.,Karachi,Should have a Bachelors degree in Computer Science or related field.5+ years of experience in PHP/Laravel (backend) software development.
IT In-charge,Human Resource Solution (Pvt.) Ltd.,Karachi,"Management of data in the cloud.Looking for IT In charge, with a MSc/MA in Computer Science, engineering or relevant field and 8 – 10 Years of Experience."
React Frontend Developer,Smart Placement (Pvt) Ltd,Lahore,"Bachelor’s or higher degree in Computer Science, Information Technology, or a similar field.2-6 years of experience of frontend development in ReactJS."
Linux Administrator,IBEX Global,Lahore,"Awareness around that ""Hope is not a Strategy"" when dealing with complex interactions between people and data systems.5+ years of relevant field experience."
Senior Android Developer,Devsky,Rawalpindi,"Experience working with remote data via REST and JSON.Bs/MS degree in computer sciences, Engineering or a related field.Can enjoy a tour with the company."
Product Software Analyst,VIDIZMO LLC,Karachi,We are looking to expand the team of Product Software Analysts to analyze and design all activities during the VIDIZMO product development lifecycle that is to…
Mobile Developer,GoodCore Software Limited,Karachi,ReactNative with prior experience in Native iOS and Android Development (*Is a must*).BS / BE in Computer Science (16 years of Education).
Scrum Master - Pakistan,Mobiz,Karachi,"You are an experience scrum master with a track record of leading the full life cycle of multiple, simultaneous, projects."
PHP Laravel Vue JS Developer,Smart Placement (Pvt) Ltd,Lahore,"Utilize backend data services and contribute to increasing existing data services API.Develop, record and maintain cutting-edge web-based PHP applications on…"
TECHNICAL WRITER / Code Documentor,ENTERTAINER FZ LLC,Lahore,"Is also called technical communicator or code documenter, prepares instruction manuals, journal articles, and other supporting documents to communicate complex…"
Content Writer,"Revival Research Institute, LLC",Karachi,"You work with a high attention to detail, reviewing documentation, researching materials and maintaining data systems - all with a sense of urgency aligned with…"
Security Engineer,CEQUENS,Pakistan,"You will make things more secure by protecting system boundaries, keeping computer systems and network devices hardened against attacks and securing highly…"
BlockChain Developer,Mutex Systems Pvt. Ltd.,Karachi,"Bachelor's degree in information security, computer science, or related.Must have extensive knowledge in the back-end development of decentralized applications…"
Flutter Developer,Four Fox,Karachi,"Good understanding of Object-Oriented Programming & data structures.Database Design Knowledge (Core data, SQL Lite).Strong & practical Experienced on Flutter."
PHP - CMS Developer (Junior),KNYSYS,Karachi,"Strong architectural ability including familiarity with data, display, and information architecture.We have an exciting opportunity for those who have…"
Business Intelligence Analyst,Contour Software,Lahore,"Performing and documenting data analysis, data validation, and data mapping/design.3+ years in data analysis and/or Finance."
Solutions Engineer - Integrations,Motive,Islamabad,Collaborate with Sales or Customer Success teams and our customers to understand our customer's business challenges and helps them leverage the connection…
Associate Technical Lead,Innovative Solutions,Karachi,"Should be good in data structures and database design.Qualification: *Bachelors/Masters in CS/SE preferred.Hands-On experience with Laravel, Node JS, MongoDB,…"
PHP Developer,Tossdown Technologies Pvt Ltd,Lahore,Bachelor’s degree in computer science or related field (master's would be considered a plus).At least 1 year of experience in the same field.
SQL Database Administrator - Pakistan,Mobiz,Karachi,Promote security and best-practices related to data privacy for all cloud-based data sources.Degree in computer science an asset.
Customer Experience Associate,foodpanda Pakistan,Karachi,Acquiring data from primary or secondary data sources and maintain a communication channel with inter/intra departmental teams.
Full Stack Developer,Al-Nafi E-Learning Pvt Ltd,Karachi,"Applied Experience with data-structures.We are looking for a Full-stack developer, who can manage all tasks related to Full Stack Development."
Web Portal/AWS expert,Safe Solutions Consultants,Islamabad,Lead data and application migration projects.Work alongside application development teams to support transition and operation of data-driven applications into…
Mean Stack Developer,Techception,Rawalpindi,Building interactive consumer data from multiple systems and RESTfully abstracting to the UI through a Node.js backend.
